ΚΩΔΙΚΟΣ_ΒΑΡΔΙΑΣ,ΤΥΠΟΣ,ΗΜΕΡΟΜΗΝΙΑ,ΟΝΟΜΑ_ΤΜΗΜΑΤΟΣ
SHF_06686,Απογευματινή,2025-05-29,Ογκολογία
SHF_06687,Νυχτερινή,2025-05-29,Ογκολογία
SHF_06688,Πρωινή,2025-05-29,Πνευμονολογία
SHF_06689,Απογευματινή,2025-05-29,Πνευμονολογία
SHF_06690,Νυχτερινή,2025-05-29,Πνευμονολογία
SHF_06691,Πρωινή,2025-05-29,Ουρολογία
SHF_06692,Απογευματινή,2025-05-29,Ουρολογία
SHF_06693,Νυχτερινή,2025-05-29,Ουρολογία
SHF_06694,Πρωινή,2025-05-29,Οφθαλμολογία
SHF_06695,Απογευματινή,2025-05-29,Οφθαλμολογία
SHF_06696,Νυχτερινή,2025-05-29,Οφθαλμολογία
SHF_06697,Πρωινή,2025-05-29,ΩΡΛ
SHF_06698,Απογευματινή,2025-05-29,ΩΡΛ
SHF_06699,Νυχτερινή,2025-05-29,ΩΡΛ
SHF_06700,Πρωινή,2025-05-29,Γαστρεντερολογία
SHF_06701,Απογευματινή,2025-05-29,Γαστρεντερολογία
SHF_06702,Νυχτερινή,2025-05-29,Γαστρεντερολογία
SHF_06703,Πρωινή,2025-05-29,Ενδοκρινολογία
SHF_06704,Απογευματινή,2025-05-29,Ενδοκρινολογία
SHF_06705,Νυχτερινή,2025-05-29,Ενδοκρινολογία
SHF_06706,Πρωινή,2025-05-30,Καρδιολογία
SHF_06707,Απογευματινή,2025-05-30,Καρδιολογία
SHF_06708,Νυχτερινή,2025-05-30,Καρδιολογία
SHF_06709,Πρωινή,2025-05-30,Χειρουργική
SHF_06710,Απογευματινή,2025-05-30,Χειρουργική
SHF_06711,Νυχτερινή,2025-05-30,Χειρουργική
SHF_06712,Πρωινή,2025-05-30,ΜΕΘ
SHF_06713,Απογευματινή,2025-05-30,ΜΕΘ
SHF_06714,Νυχτερινή,2025-05-30,ΜΕΘ
SHF_06715,Πρωινή,2025-05-30,Επείγοντα
SHF_06716,Απογευματινή,2025-05-30,Επείγοντα
SHF_06717,Νυχτερινή,2025-05-30,Επείγοντα
SHF_06718,Πρωινή,2025-05-30,Ορθοπεδική
SHF_06719,Απογευματινή,2025-05-30,Ορθοπεδική
SHF_06720,Νυχτερινή,2025-05-30,Ορθοπεδική
SHF_06721,Πρωινή,2025-05-30,Παιδιατρική
SHF_06722,Απογευματινή,2025-05-30,Παιδιατρική
SHF_06723,Νυχτερινή,2025-05-30,Παιδιατρική
SHF_06724,Πρωινή,2025-05-30,Γυναικολογία
SHF_06725,Απογευματινή,2025-05-30,Γυναικολογία
SHF_06726,Νυχτερινή,2025-05-30,Γυναικολογία
SHF_06727,Πρωινή,2025-05-30,Νευρολογία
SHF_06728,Απογευματινή,2025-05-30,Νευρολογία
SHF_06729,Νυχτερινή,2025-05-30,Νευρολογία
SHF_06730,Πρωινή,2025-05-30,Ογκολογία
SHF_06731,Απογευματινή,2025-05-30,Ογκολογία
SHF_06732,Νυχτερινή,2025-05-30,Ογκολογία
SHF_06733,Πρωινή,2025-05-30,Πνευμονολογία
SHF_06734,Απογευματινή,2025-05-30,Πνευμονολογία
SHF_06735,Νυχτερινή,2025-05-30,Πνευμονολογία
SHF_06736,Πρωινή,2025-05-30,Ουρολογία
SHF_06737,Απογευματινή,2025-05-30,Ουρολογία
SHF_06738,Νυχτερινή,2025-05-30,Ουρολογία
SHF_06739,Πρωινή,2025-05-30,Οφθαλμολογία
SHF_06740,Απογευματινή,2025-05-30,Οφθαλμολογία
SHF_06741,Νυχτερινή,2025-05-30,Οφθαλμολογία
SHF_06742,Πρωινή,2025-05-30,ΩΡΛ
SHF_06743,Απογευματινή,2025-05-30,ΩΡΛ
SHF_06744,Νυχτερινή,2025-05-30,ΩΡΛ
SHF_06745,Πρωινή,2025-05-30,Γαστρεντερολογία
SHF_06746,Απογευματινή,2025-05-30,Γαστρεντερολογία
SHF_06747,Νυχτερινή,2025-05-30,Γαστρεντερολογία
SHF_06748,Πρωινή,2025-05-30,Ενδοκρινολογία
SHF_06749,Απογευματινή,2025-05-30,Ενδοκρινολογία
SHF_06750,Νυχτερινή,2025-05-30,Ενδοκρινολογία
SHF_06751,Πρωινή,2025-05-31,Καρδιολογία
SHF_06752,Απογευματινή,2025-05-31,Καρδιολογία
SHF_06753,Νυχτερινή,2025-05-31,Καρδιολογία
SHF_06754,Πρωινή,2025-05-31,Χειρουργική
SHF_06755,Απογευματινή,2025-05-31,Χειρουργική
SHF_06756,Νυχτερινή,2025-05-31,Χειρουργική
SHF_06757,Πρωινή,2025-05-31,ΜΕΘ
SHF_06758,Απογευματινή,2025-05-31,ΜΕΘ
SHF_06759,Νυχτερινή,2025-05-31,ΜΕΘ
SHF_06760,Πρωινή,2025-05-31,Επείγοντα
SHF_06761,Απογευματινή,2025-05-31,Επείγοντα
SHF_06762,Νυχτερινή,2025-05-31,Επείγοντα
SHF_06763,Πρωινή,2025-05-31,Ορθοπεδική
SHF_06764,Απογευματινή,2025-05-31,Ορθοπεδική
SHF_06765,Νυχτερινή,2025-05-31,Ορθοπεδική
SHF_06766,Πρωινή,2025-05-31,Παιδιατρική
SHF_06767,Απογευματινή,2025-05-31,Παιδιατρική
SHF_06768,Νυχτερινή,2025-05-31,Παιδιατρική
SHF_06769,Πρωινή,2025-05-31,Γυναικολογία
SHF_06770,Απογευματινή,2025-05-31,Γυναικολογία
SHF_06771,Νυχτερινή,2025-05-31,Γυναικολογία
SHF_06772,Πρωινή,2025-05-31,Νευρολογία
SHF_06773,Απογευματινή,2025-05-31,Νευρολογία
SHF_06774,Νυχτερινή,2025-05-31,Νευρολογία
SHF_06775,Πρωινή,2025-05-31,Ογκολογία
SHF_06776,Απογευματινή,2025-05-31,Ογκολογία
SHF_06777,Νυχτερινή,2025-05-31,Ογκολογία
SHF_06778,Πρωινή,2025-05-31,Πνευμονολογία
SHF_06779,Απογευματινή,2025-05-31,Πνευμονολογία
SHF_06780,Νυχτερινή,2025-05-31,Πνευμονολογία
SHF_06781,Πρωινή,2025-05-31,Ουρολογία
SHF_06782,Απογευματινή,2025-05-31,Ουρολογία
SHF_06783,Νυχτερινή,2025-05-31,Ουρολογία
SHF_06784,Πρωινή,2025-05-31,Οφθαλμολογία
SHF_06785,Απογευματινή,2025-05-31,Οφθαλμολογία
SHF_06786,Νυχτερινή,2025-05-31,Οφθαλμολογία
SHF_06787,Πρωινή,2025-05-31,ΩΡΛ
SHF_06788,Απογευματινή,2025-05-31,ΩΡΛ
SHF_06789,Νυχτερινή,2025-05-31,ΩΡΛ
SHF_06790,Πρωινή,2025-05-31,Γαστρεντερολογία
SHF_06791,Απογευματινή,2025-05-31,Γαστρεντερολογία
SHF_06792,Νυχτερινή,2025-05-31,Γαστρεντερολογία
SHF_06793,Πρωινή,2025-05-31,Ενδοκρινολογία
SHF_06794,Απογευματινή,2025-05-31,Ενδοκρινολογία
SHF_06795,Νυχτερινή,2025-05-31,Ενδοκρινολογία
SHF_06796,Πρωινή,2025-06-01,Καρδιολογία
SHF_06797,Απογευματινή,2025-06-01,Καρδιολογία
SHF_06798,Νυχτερινή,2025-06-01,Καρδιολογία
SHF_06799,Πρωινή,2025-06-01,Χειρουργική
SHF_06800,Απογευματινή,2025-06-01,Χειρουργική
SHF_06801,Νυχτερινή,2025-06-01,Χειρουργική
SHF_06802,Πρωινή,2025-06-01,ΜΕΘ
SHF_06803,Απογευματινή,2025-06-01,ΜΕΘ
SHF_06804,Νυχτερινή,2025-06-01,ΜΕΘ
SHF_06805,Πρωινή,2025-06-01,Επείγοντα
SHF_06806,Απογευματινή,2025-06-01,Επείγοντα
SHF_06807,Νυχτερινή,2025-06-01,Επείγοντα
SHF_06808,Πρωινή,2025-06-01,Ορθοπεδική
SHF_06809,Απογευματινή,2025-06-01,Ορθοπεδική
SHF_06810,Νυχτερινή,2025-06-01,Ορθοπεδική
SHF_06811,Πρωινή,2025-06-01,Παιδιατρική
SHF_06812,Απογευματινή,2025-06-01,Παιδιατρική
SHF_06813,Νυχτερινή,2025-06-01,Παιδιατρική
SHF_06814,Πρωινή,2025-06-01,Γυναικολογία
SHF_06815,Απογευματινή,2025-06-01,Γυναικολογία
SHF_06816,Νυχτερινή,2025-06-01,Γυναικολογία
SHF_06817,Πρωινή,2025-06-01,Νευρολογία
SHF_06818,Απογευματινή,2025-06-01,Νευρολογία
SHF_06819,Νυχτερινή,2025-06-01,Νευρολογία
SHF_06820,Πρωινή,2025-06-01,Ογκολογία
SHF_06821,Απογευματινή,2025-06-01,Ογκολογία
SHF_06822,Νυχτερινή,2025-06-01,Ογκολογία
SHF_06823,Πρωινή,2025-06-01,Πνευμονολογία
SHF_06824,Απογευματινή,2025-06-01,Πνευμονολογία
SHF_06825,Νυχτερινή,2025-06-01,Πνευμονολογία
SHF_06826,Πρωινή,2025-06-01,Ουρολογία
SHF_06827,Απογευματινή,2025-06-01,Ουρολογία
SHF_06828,Νυχτερινή,2025-06-01,Ουρολογία
SHF_06829,Πρωινή,2025-06-01,Οφθαλμολογία
SHF_06830,Απογευματινή,2025-06-01,Οφθαλμολογία
SHF_06831,Νυχτερινή,2025-06-01,Οφθαλμολογία
SHF_06832,Πρωινή,2025-06-01,ΩΡΛ
SHF_06833,Απογευματινή,2025-06-01,ΩΡΛ
SHF_06834,Νυχτερινή,2025-06-01,ΩΡΛ
SHF_06835,Πρωινή,2025-06-01,Γαστρεντερολογία
SHF_06836,Απογευματινή,2025-06-01,Γαστρεντερολογία
SHF_06837,Νυχτερινή,2025-06-01,Γαστρεντερολογία
SHF_06838,Πρωινή,2025-06-01,Ενδοκρινολογία
SHF_06839,Απογευματινή,2025-06-01,Ενδοκρινολογία
SHF_06840,Νυχτερινή,2025-06-01,Ενδοκρινολογία
SHF_06841,Πρωινή,2025-06-02,Καρδιολογία
SHF_06842,Απογευματινή,2025-06-02,Καρδιολογία
SHF_06843,Νυχτερινή,2025-06-02,Καρδιολογία
SHF_06844,Πρωινή,2025-06-02,Χειρουργική
SHF_06845,Απογευματινή,2025-06-02,Χειρουργική
SHF_06846,Νυχτερινή,2025-06-02,Χειρουργική
SHF_06847,Πρωινή,2025-06-02,ΜΕΘ
SHF_06848,Απογευματινή,2025-06-02,ΜΕΘ
SHF_06849,Νυχτερινή,2025-06-02,ΜΕΘ
SHF_06850,Πρωινή,2025-06-02,Επείγοντα
SHF_06851,Απογευματινή,2025-06-02,Επείγοντα
SHF_06852,Νυχτερινή,2025-06-02,Επείγοντα
SHF_06853,Πρωινή,2025-06-02,Ορθοπεδική
SHF_06854,Απογευματινή,2025-06-02,Ορθοπεδική
SHF_06855,Νυχτερινή,2025-06-02,Ορθοπεδική
SHF_06856,Πρωινή,2025-06-02,Παιδιατρική
SHF_06857,Απογευματινή,2025-06-02,Παιδιατρική
SHF_06858,Νυχτερινή,2025-06-02,Παιδιατρική
SHF_06859,Πρωινή,2025-06-02,Γυναικολογία
SHF_06860,Απογευματινή,2025-06-02,Γυναικολογία
SHF_06861,Νυχτερινή,2025-06-02,Γυναικολογία
SHF_06862,Πρωινή,2025-06-02,Νευρολογία
SHF_06863,Απογευματινή,2025-06-02,Νευρολογία
SHF_06864,Νυχτερινή,2025-06-02,Νευρολογία
SHF_06865,Πρωινή,2025-06-02,Ογκολογία
SHF_06866,Απογευματινή,2025-06-02,Ογκολογία
SHF_06867,Νυχτερινή,2025-06-02,Ογκολογία
SHF_06868,Πρωινή,2025-06-02,Πνευμονολογία
SHF_06869,Απογευματινή,2025-06-02,Πνευμονολογία
SHF_06870,Νυχτερινή,2025-06-02,Πνευμονολογία
SHF_06871,Πρωινή,2025-06-02,Ουρολογία
SHF_06872,Απογευματινή,2025-06-02,Ουρολογία
SHF_06873,Νυχτερινή,2025-06-02,Ουρολογία
SHF_06874,Πρωινή,2025-06-02,Οφθαλμολογία
SHF_06875,Απογευματινή,2025-06-02,Οφθαλμολογία
SHF_06876,Νυχτερινή,2025-06-02,Οφθαλμολογία
SHF_06877,Πρωινή,2025-06-02,ΩΡΛ
SHF_06878,Απογευματινή,2025-06-02,ΩΡΛ
SHF_06879,Νυχτερινή,2025-06-02,ΩΡΛ
SHF_06880,Πρωινή,2025-06-02,Γαστρεντερολογία
SHF_06881,Απογευματινή,2025-06-02,Γαστρεντερολογία
SHF_06882,Νυχτερινή,2025-06-02,Γαστρεντερολογία
SHF_06883,Πρωινή,2025-06-02,Ενδοκρινολογία
SHF_06884,Απογευματινή,2025-06-02,Ενδοκρινολογία
SHF_06885,Νυχτερινή,2025-06-02,Ενδοκρινολογία
SHF_06886,Πρωινή,2025-06-03,Καρδιολογία
SHF_06887,Απογευματινή,2025-06-03,Καρδιολογία
SHF_06888,Νυχτερινή,2025-06-03,Καρδιολογία
SHF_06889,Πρωινή,2025-06-03,Χειρουργική
SHF_06890,Απογευματινή,2025-06-03,Χειρουργική
SHF_06891,Νυχτερινή,2025-06-03,Χειρουργική
SHF_06892,Πρωινή,2025-06-03,ΜΕΘ
SHF_06893,Απογευματινή,2025-06-03,ΜΕΘ
SHF_06894,Νυχτερινή,2025-06-03,ΜΕΘ
SHF_06895,Πρωινή,2025-06-03,Επείγοντα
SHF_06896,Απογευματινή,2025-06-03,Επείγοντα
SHF_06897,Νυχτερινή,2025-06-03,Επείγοντα
SHF_06898,Πρωινή,2025-06-03,Ορθοπεδική
SHF_06899,Απογευματινή,2025-06-03,Ορθοπεδική
SHF_06900,Νυχτερινή,2025-06-03,Ορθοπεδική
SHF_06901,Πρωινή,2025-06-03,Παιδιατρική
SHF_06902,Απογευματινή,2025-06-03,Παιδιατρική
SHF_06903,Νυχτερινή,2025-06-03,Παιδιατρική
SHF_06904,Πρωινή,2025-06-03,Γυναικολογία
SHF_06905,Απογευματινή,2025-06-03,Γυναικολογία
SHF_06906,Νυχτερινή,2025-06-03,Γυναικολογία
SHF_06907,Πρωινή,2025-06-03,Νευρολογία
SHF_06908,Απογευματινή,2025-06-03,Νευρολογία
SHF_06909,Νυχτερινή,2025-06-03,Νευρολογία
SHF_06910,Πρωινή,2025-06-03,Ογκολογία
SHF_06911,Απογευματινή,2025-06-03,Ογκολογία
SHF_06912,Νυχτερινή,2025-06-03,Ογκολογία
SHF_06913,Πρωινή,2025-06-03,Πνευμονολογία
SHF_06914,Απογευματινή,2025-06-03,Πνευμονολογία
SHF_06915,Νυχτερινή,2025-06-03,Πνευμονολογία
SHF_06916,Πρωινή,2025-06-03,Ουρολογία
SHF_06917,Απογευματινή,2025-06-03,Ουρολογία
SHF_06918,Νυχτερινή,2025-06-03,Ουρολογία
SHF_06919,Πρωινή,2025-06-03,Οφθαλμολογία
SHF_06920,Απογευματινή,2025-06-03,Οφθαλμολογία
SHF_06921,Νυχτερινή,2025-06-03,Οφθαλμολογία
SHF_06922,Πρωινή,2025-06-03,ΩΡΛ
SHF_06923,Απογευματινή,2025-06-03,ΩΡΛ
SHF_06924,Νυχτερινή,2025-06-03,ΩΡΛ
SHF_06925,Πρωινή,2025-06-03,Γαστρεντερολογία
SHF_06926,Απογευματινή,2025-06-03,Γαστρεντερολογία
SHF_06927,Νυχτερινή,2025-06-03,Γαστρεντερολογία
SHF_06928,Πρωινή,2025-06-03,Ενδοκρινολογία
SHF_06929,Απογευματινή,2025-06-03,Ενδοκρινολογία
SHF_06930,Νυχτερινή,2025-06-03,Ενδοκρινολογία
SHF_06931,Πρωινή,2025-06-04,Καρδιολογία
SHF_06932,Απογευματινή,2025-06-04,Καρδιολογία
SHF_06933,Νυχτερινή,2025-06-04,Καρδιολογία
SHF_06934,Πρωινή,2025-06-04,Χειρουργική
SHF_06935,Απογευματινή,2025-06-04,Χειρουργική
SHF_06936,Νυχτερινή,2025-06-04,Χειρουργική
SHF_06937,Πρωινή,2025-06-04,ΜΕΘ
SHF_06938,Απογευματινή,2025-06-04,ΜΕΘ
SHF_06939,Νυχτερινή,2025-06-04,ΜΕΘ
SHF_06940,Πρωινή,2025-06-04,Επείγοντα
SHF_06941,Απογευματινή,2025-06-04,Επείγοντα
SHF_06942,Νυχτερινή,2025-06-04,Επείγοντα
SHF_06943,Πρωινή,2025-06-04,Ορθοπεδική
SHF_06944,Απογευματινή,2025-06-04,Ορθοπεδική
SHF_06945,Νυχτερινή,2025-06-04,Ορθοπεδική
SHF_06946,Πρωινή,2025-06-04,Παιδιατρική
SHF_06947,Απογευματινή,2025-06-04,Παιδιατρική
SHF_06948,Νυχτερινή,2025-06-04,Παιδιατρική
SHF_06949,Πρωινή,2025-06-04,Γυναικολογία
SHF_06950,Απογευματινή,2025-06-04,Γυναικολογία
SHF_06951,Νυχτερινή,2025-06-04,Γυναικολογία
SHF_06952,Πρωινή,2025-06-04,Νευρολογία
SHF_06953,Απογευματινή,2025-06-04,Νευρολογία
SHF_06954,Νυχτερινή,2025-06-04,Νευρολογία
SHF_06955,Πρωινή,2025-06-04,Ογκολογία
SHF_06956,Απογευματινή,2025-06-04,Ογκολογία
SHF_06957,Νυχτερινή,2025-06-04,Ογκολογία
SHF_06958,Πρωινή,2025-06-04,Πνευμονολογία
SHF_06959,Απογευματινή,2025-06-04,Πνευμονολογία
SHF_06960,Νυχτερινή,2025-06-04,Πνευμονολογία
SHF_06961,Πρωινή,2025-06-04,Ουρολογία
SHF_06962,Απογευματινή,2025-06-04,Ουρολογία
SHF_06963,Νυχτερινή,2025-06-04,Ουρολογία
SHF_06964,Πρωινή,2025-06-04,Οφθαλμολογία
SHF_06965,Απογευματινή,2025-06-04,Οφθαλμολογία
SHF_06966,Νυχτερινή,2025-06-04,Οφθαλμολογία
SHF_06967,Πρωινή,2025-06-04,ΩΡΛ
SHF_06968,Απογευματινή,2025-06-04,ΩΡΛ
SHF_06969,Νυχτερινή,2025-06-04,ΩΡΛ
SHF_06970,Πρωινή,2025-06-04,Γαστρεντερολογία
SHF_06971,Απογευματινή,2025-06-04,Γαστρεντερολογία
SHF_06972,Νυχτερινή,2025-06-04,Γαστρεντερολογία
SHF_06973,Πρωινή,2025-06-04,Ενδοκρινολογία
SHF_06974,Απογευματινή,2025-06-04,Ενδοκρινολογία
SHF_06975,Νυχτερινή,2025-06-04,Ενδοκρινολογία
SHF_06976,Πρωινή,2025-06-05,Καρδιολογία
SHF_06977,Απογευματινή,2025-06-05,Καρδιολογία
SHF_06978,Νυχτερινή,2025-06-05,Καρδιολογία
SHF_06979,Πρωινή,2025-06-05,Χειρουργική
SHF_06980,Απογευματινή,2025-06-05,Χειρουργική
SHF_06981,Νυχτερινή,2025-06-05,Χειρουργική
SHF_06982,Πρωινή,2025-06-05,ΜΕΘ
SHF_06983,Απογευματινή,2025-06-05,ΜΕΘ
SHF_06984,Νυχτερινή,2025-06-05,ΜΕΘ
SHF_06985,Πρωινή,2025-06-05,Επείγοντα
SHF_06986,Απογευματινή,2025-06-05,Επείγοντα
SHF_06987,Νυχτερινή,2025-06-05,Επείγοντα
SHF_06988,Πρωινή,2025-06-05,Ορθοπεδική
SHF_06989,Απογευματινή,2025-06-05,Ορθοπεδική
SHF_06990,Νυχτερινή,2025-06-05,Ορθοπεδική
SHF_06991,Πρωινή,2025-06-05,Παιδιατρική
SHF_06992,Απογευματινή,2025-06-05,Παιδιατρική
SHF_06993,Νυχτερινή,2025-06-05,Παιδιατρική
SHF_06994,Πρωινή,2025-06-05,Γυναικολογία
SHF_06995,Απογευματινή,2025-06-05,Γυναικολογία
SHF_06996,Νυχτερινή,2025-06-05,Γυναικολογία
SHF_06997,Πρωινή,2025-06-05,Νευρολογία
SHF_06998,Απογευματινή,2025-06-05,Νευρολογία
SHF_06999,Νυχτερινή,2025-06-05,Νευρολογία
SHF_07000,Πρωινή,2025-06-05,Ογκολογία
SHF_07001,Απογευματινή,2025-06-05,Ογκολογία
SHF_07002,Νυχτερινή,2025-06-05,Ογκολογία
SHF_07003,Πρωινή,2025-06-05,Πνευμονολογία
SHF_07004,Απογευματινή,2025-06-05,Πνευμονολογία
SHF_07005,Νυχτερινή,2025-06-05,Πνευμονολογία
SHF_07006,Πρωινή,2025-06-05,Ουρολογία
SHF_07007,Απογευματινή,2025-06-05,Ουρολογία
SHF_07008,Νυχτερινή,2025-06-05,Ουρολογία
SHF_07009,Πρωινή,2025-06-05,Οφθαλμολογία
SHF_07010,Απογευματινή,2025-06-05,Οφθαλμολογία
SHF_07011,Νυχτερινή,2025-06-05,Οφθαλμολογία
SHF_07012,Πρωινή,2025-06-05,ΩΡΛ
SHF_07013,Απογευματινή,2025-06-05,ΩΡΛ
SHF_07014,Νυχτερινή,2025-06-05,ΩΡΛ
SHF_07015,Πρωινή,2025-06-05,Γαστρεντερολογία
SHF_07016,Απογευματινή,2025-06-05,Γαστρεντερολογία
SHF_07017,Νυχτερινή,2025-06-05,Γαστρεντερολογία
SHF_07018,Πρωινή,2025-06-05,Ενδοκρινολογία
SHF_07019,Απογευματινή,2025-06-05,Ενδοκρινολογία
SHF_07020,Νυχτερινή,2025-06-05,Ενδοκρινολογία
SHF_07021,Πρωινή,2025-06-06,Καρδιολογία
SHF_07022,Απογευματινή,2025-06-06,Καρδιολογία
SHF_07023,Νυχτερινή,2025-06-06,Καρδιολογία
SHF_07024,Πρωινή,2025-06-06,Χειρουργική
SHF_07025,Απογευματινή,2025-06-06,Χειρουργική
SHF_07026,Νυχτερινή,2025-06-06,Χειρουργική
SHF_07027,Πρωινή,2025-06-06,ΜΕΘ
SHF_07028,Απογευματινή,2025-06-06,ΜΕΘ
SHF_07029,Νυχτερινή,2025-06-06,ΜΕΘ
SHF_07030,Πρωινή,2025-06-06,Επείγοντα
SHF_07031,Απογευματινή,2025-06-06,Επείγοντα
SHF_07032,Νυχτερινή,2025-06-06,Επείγοντα
SHF_07033,Πρωινή,2025-06-06,Ορθοπεδική
SHF_07034,Απογευματινή,2025-06-06,Ορθοπεδική
SHF_07035,Νυχτερινή,2025-06-06,Ορθοπεδική
SHF_07036,Πρωινή,2025-06-06,Παιδιατρική
SHF_07037,Απογευματινή,2025-06-06,Παιδιατρική
SHF_07038,Νυχτερινή,2025-06-06,Παιδιατρική
SHF_07039,Πρωινή,2025-06-06,Γυναικολογία
SHF_07040,Απογευματινή,2025-06-06,Γυναικολογία
SHF_07041,Νυχτερινή,2025-06-06,Γυναικολογία
SHF_07042,Πρωινή,2025-06-06,Νευρολογία
SHF_07043,Απογευματινή,2025-06-06,Νευρολογία
SHF_07044,Νυχτερινή,2025-06-06,Νευρολογία
SHF_07045,Πρωινή,2025-06-06,Ογκολογία
SHF_07046,Απογευματινή,2025-06-06,Ογκολογία
SHF_07047,Νυχτερινή,2025-06-06,Ογκολογία
SHF_07048,Πρωινή,2025-06-06,Πνευμονολογία
SHF_07049,Απογευματινή,2025-06-06,Πνευμονολογία
SHF_07050,Νυχτερινή,2025-06-06,Πνευμονολογία
SHF_07051,Πρωινή,2025-06-06,Ουρολογία
SHF_07052,Απογευματινή,2025-06-06,Ουρολογία
SHF_07053,Νυχτερινή,2025-06-06,Ουρολογία
SHF_07054,Πρωινή,2025-06-06,Οφθαλμολογία
SHF_07055,Απογευματινή,2025-06-06,Οφθαλμολογία
SHF_07056,Νυχτερινή,2025-06-06,Οφθαλμολογία
SHF_07057,Πρωινή,2025-06-06,ΩΡΛ
SHF_07058,Απογευματινή,2025-06-06,ΩΡΛ
SHF_07059,Νυχτερινή,2025-06-06,ΩΡΛ
SHF_07060,Πρωινή,2025-06-06,Γαστρεντερολογία
SHF_07061,Απογευματινή,2025-06-06,Γαστρεντερολογία
SHF_07062,Νυχτερινή,2025-06-06,Γαστρεντερολογία
SHF_07063,Πρωινή,2025-06-06,Ενδοκρινολογία
SHF_07064,Απογευματινή,2025-06-06,Ενδοκρινολογία
SHF_07065,Νυχτερινή,2025-06-06,Ενδοκρινολογία
SHF_07066,Πρωινή,2025-06-07,Καρδιολογία
SHF_07067,Απογευματινή,2025-06-07,Καρδιολογία
SHF_07068,Νυχτερινή,2025-06-07,Καρδιολογία
SHF_07069,Πρωινή,2025-06-07,Χειρουργική
SHF_07070,Απογευματινή,2025-06-07,Χειρουργική
SHF_07071,Νυχτερινή,2025-06-07,Χειρουργική
SHF_07072,Πρωινή,2025-06-07,ΜΕΘ
SHF_07073,Απογευματινή,2025-06-07,ΜΕΘ
SHF_07074,Νυχτερινή,2025-06-07,ΜΕΘ
SHF_07075,Πρωινή,2025-06-07,Επείγοντα
SHF_07076,Απογευματινή,2025-06-07,Επείγοντα
SHF_07077,Νυχτερινή,2025-06-07,Επείγοντα
SHF_07078,Πρωινή,2025-06-07,Ορθοπεδική
SHF_07079,Απογευματινή,2025-06-07,Ορθοπεδική
SHF_07080,Νυχτερινή,2025-06-07,Ορθοπεδική
SHF_07081,Πρωινή,2025-06-07,Παιδιατρική
SHF_07082,Απογευματινή,2025-06-07,Παιδιατρική
SHF_07083,Νυχτερινή,2025-06-07,Παιδιατρική
SHF_07084,Πρωινή,2025-06-07,Γυναικολογία
SHF_07085,Απογευματινή,2025-06-07,Γυναικολογία
SHF_07086,Νυχτερινή,2025-06-07,Γυναικολογία
SHF_07087,Πρωινή,2025-06-07,Νευρολογία
SHF_07088,Απογευματινή,2025-06-07,Νευρολογία
SHF_07089,Νυχτερινή,2025-06-07,Νευρολογία
SHF_07090,Πρωινή,2025-06-07,Ογκολογία
SHF_07091,Απογευματινή,2025-06-07,Ογκολογία
SHF_07092,Νυχτερινή,2025-06-07,Ογκολογία
SHF_07093,Πρωινή,2025-06-07,Πνευμονολογία
SHF_07094,Απογευματινή,2025-06-07,Πνευμονολογία
SHF_07095,Νυχτερινή,2025-06-07,Πνευμονολογία
SHF_07096,Πρωινή,2025-06-07,Ουρολογία
SHF_07097,Απογευματινή,2025-06-07,Ουρολογία
SHF_07098,Νυχτερινή,2025-06-07,Ουρολογία
SHF_07099,Πρωινή,2025-06-07,Οφθαλμολογία
SHF_07100,Απογευματινή,2025-06-07,Οφθαλμολογία
SHF_07101,Νυχτερινή,2025-06-07,Οφθαλμολογία
SHF_07102,Πρωινή,2025-06-07,ΩΡΛ
SHF_07103,Απογευματινή,2025-06-07,ΩΡΛ
SHF_07104,Νυχτερινή,2025-06-07,ΩΡΛ
SHF_07105,Πρωινή,2025-06-07,Γαστρεντερολογία
SHF_07106,Απογευματινή,2025-06-07,Γαστρεντερολογία
SHF_07107,Νυχτερινή,2025-06-07,Γαστρεντερολογία
SHF_07108,Πρωινή,2025-06-07,Ενδοκρινολογία
SHF_07109,Απογευματινή,2025-06-07,Ενδοκρινολογία
SHF_07110,Νυχτερινή,2025-06-07,Ενδοκρινολογία
SHF_07111,Πρωινή,2025-06-08,Καρδιολογία
SHF_07112,Απογευματινή,2025-06-08,Καρδιολογία
SHF_07113,Νυχτερινή,2025-06-08,Καρδιολογία
SHF_07114,Πρωινή,2025-06-08,Χειρουργική
SHF_07115,Απογευματινή,2025-06-08,Χειρουργική
SHF_07116,Νυχτερινή,2025-06-08,Χειρουργική
SHF_07117,Πρωινή,2025-06-08,ΜΕΘ
SHF_07118,Απογευματινή,2025-06-08,ΜΕΘ
SHF_07119,Νυχτερινή,2025-06-08,ΜΕΘ
SHF_07120,Πρωινή,2025-06-08,Επείγοντα
SHF_07121,Απογευματινή,2025-06-08,Επείγοντα
SHF_07122,Νυχτερινή,2025-06-08,Επείγοντα
SHF_07123,Πρωινή,2025-06-08,Ορθοπεδική
SHF_07124,Απογευματινή,2025-06-08,Ορθοπεδική
SHF_07125,Νυχτερινή,2025-06-08,Ορθοπεδική
SHF_07126,Πρωινή,2025-06-08,Παιδιατρική
SHF_07127,Απογευματινή,2025-06-08,Παιδιατρική
SHF_07128,Νυχτερινή,2025-06-08,Παιδιατρική
