ΚΩΔΙΚΟΣ_ΕΞΕΤΑΣΗΣ,ΤΥΠΟΣ,ΚΟΣΤΟΣ
EXM_03251,PCR COVID-19,21.33
EXM_03252,Ουρία,222.19
EXM_03253,Ουρία,154.09
EXM_03254,Ακτινογραφία Θώρακος,53.49
EXM_03255,PCR COVID-19,60.72
EXM_03256,Σάκχαρο Αίματος,219.16
EXM_03257,Μαγνητική Τομογραφία (MRI),185.58
EXM_03258,Ηλεκτροκαρδιογράφημα (ΗΚΓ),112.05
EXM_03259,Ηλεκτροκαρδιογράφημα (ΗΚΓ),201.65
EXM_03260,Χοληστερίνη,120.48
EXM_03261,Γενική Αίματος,38.96
EXM_03262,Μαγνητική Τομογραφία (MRI),111.24
EXM_03263,Κρεατινίνη,153.28
EXM_03264,PCR COVID-19,214.44
EXM_03265,Σάκχαρο Αίματος,33.43
EXM_03266,Σάκχαρο Αίματος,139.1
EXM_03267,Γενική Αίματος,36.29
EXM_03268,Ακτινογραφία Θώρακος,143.17
EXM_03269,Σάκχαρο Αίματος,230.48
EXM_03270,Κρεατινίνη,15.18
EXM_03271,Χοληστερίνη,136.96
EXM_03272,Γενική Αίματος,242.67
EXM_03273,PCR COVID-19,38.97
EXM_03274,Μαγνητική Τομογραφία (MRI),161.32
EXM_03275,Υπέρηχος Κοιλίας,218.76
EXM_03276,Γενική Αίματος,192.01
EXM_03277,Κρεατινίνη,42.81
EXM_03278,Γενική Αίματος,214.54
EXM_03279,Ακτινογραφία Θώρακος,104.33
EXM_03280,Ακτινογραφία Θώρακος,224.63
EXM_03281,Χοληστερίνη,195.72
EXM_03282,Σάκχαρο Αίματος,65.21
EXM_03283,Γενική Αίματος,141.88
EXM_03284,Σάκχαρο Αίματος,33.26
EXM_03285,Υπέρηχος Κοιλίας,36.17
EXM_03286,Ηλεκτροκαρδιογράφημα (ΗΚΓ),178.04
EXM_03287,Σάκχαρο Αίματος,57.57
EXM_03288,Χοληστερίνη,18.19
EXM_03289,Μαγνητική Τομογραφία (MRI),232.91
EXM_03290,Κρεατινίνη,208.35
EXM_03291,Γενική Αίματος,239.79
EXM_03292,Ηλεκτροκαρδιογράφημα (ΗΚΓ),148.78
EXM_03293,Κρεατινίνη,222.02
EXM_03294,PCR COVID-19,94.24
EXM_03295,Χοληστερίνη,215.37
EXM_03296,Γενική Αίματος,211.2
EXM_03297,Ακτινογραφία Θώρακος,62.71
EXM_03298,Υπέρηχος Κοιλίας,39.17
EXM_03299,Ουρία,150.94
EXM_03300,Χοληστερίνη,247.44
EXM_03301,Σάκχαρο Αίματος,71.9
EXM_03302,Ηλεκτροκαρδιογράφημα (ΗΚΓ),47.18
EXM_03303,Σάκχαρο Αίματος,83.12
EXM_03304,Ακτινογραφία Θώρακος,89.48
EXM_03305,Υπέρηχος Κοιλίας,17.49
EXM_03306,Σάκχαρο Αίματος,170.43
EXM_03307,Γενική Αίματος,191.92
EXM_03308,Χοληστερίνη,224.35
EXM_03309,Κρεατινίνη,21.86
EXM_03310,Ακτινογραφία Θώρακος,21.5
EXM_03311,Ηλεκτροκαρδιογράφημα (ΗΚΓ),32.66
EXM_03312,Γενική Αίματος,213.58
EXM_03313,Ακτινογραφία Θώρακος,83.26
EXM_03314,Ηλεκτροκαρδιογράφημα (ΗΚΓ),40.92
EXM_03315,PCR COVID-19,179.7
EXM_03316,Ακτινογραφία Θώρακος,193.02
EXM_03317,Χοληστερίνη,231.13
EXM_03318,Χοληστερίνη,177.94
EXM_03319,PCR COVID-19,179.42
EXM_03320,Μαγνητική Τομογραφία (MRI),179.9
EXM_03321,Κρεατινίνη,173.76
EXM_03322,Γενική Αίματος,202.39
EXM_03323,Σάκχαρο Αίματος,142.11
EXM_03324,Μαγνητική Τομογραφία (MRI),130.11
EXM_03325,Μαγνητική Τομογραφία (MRI),200.37
EXM_03326,Γενική Αίματος,80.7
EXM_03327,Μαγνητική Τομογραφία (MRI),79.15
EXM_03328,Ακτινογραφία Θώρακος,189.83
EXM_03329,Χοληστερίνη,113.29
EXM_03330,Ακτινογραφία Θώρακος,140.08
EXM_03331,Μαγνητική Τομογραφία (MRI),217.31
EXM_03332,Χοληστερίνη,149.21
EXM_03333,Χοληστερίνη,60.7
EXM_03334,Μαγνητική Τομογραφία (MRI),159.03
EXM_03335,Ουρία,116.2
EXM_03336,Ηλεκτροκαρδιογράφημα (ΗΚΓ),98.38
EXM_03337,Κρεατινίνη,37.13
EXM_03338,PCR COVID-19,69.73
EXM_03339,Γενική Αίματος,247.74
EXM_03340,PCR COVID-19,172.58
EXM_03341,Σάκχαρο Αίματος,169.64
EXM_03342,Μαγνητική Τομογραφία (MRI),98.15
EXM_03343,Σάκχαρο Αίματος,204.6
EXM_03344,Ουρία,66.5
EXM_03345,Γενική Αίματος,40.46
EXM_03346,Μαγνητική Τομογραφία (MRI),235.51
EXM_03347,Υπέρηχος Κοιλίας,110.63
EXM_03348,Υπέρηχος Κοιλίας,66.14
EXM_03349,PCR COVID-19,140.65
EXM_03350,Ακτινογραφία Θώρακος,92.37
EXM_03351,Ηλεκτροκαρδιογράφημα (ΗΚΓ),210.69
EXM_03352,Κρεατινίνη,24.65
EXM_03353,Γενική Αίματος,150.46
EXM_03354,Σάκχαρο Αίματος,215.52
EXM_03355,Υπέρηχος Κοιλίας,207.67
EXM_03356,Μαγνητική Τομογραφία (MRI),19.23
EXM_03357,Ηλεκτροκαρδιογράφημα (ΗΚΓ),130.01
EXM_03358,Ουρία,160.08
EXM_03359,Σάκχαρο Αίματος,98.73
EXM_03360,Υπέρηχος Κοιλίας,149.57
EXM_03361,PCR COVID-19,85.5
EXM_03362,Γενική Αίματος,211.81
EXM_03363,Μαγνητική Τομογραφία (MRI),91.89
EXM_03364,Γενική Αίματος,45.75
EXM_03365,Υπέρηχος Κοιλίας,179.79
EXM_03366,Υπέρηχος Κοιλίας,220.72
EXM_03367,Γενική Αίματος,63.02
EXM_03368,Κρεατινίνη,33.42
EXM_03369,Γενική Αίματος,122.71
EXM_03370,Γενική Αίματος,18.78
EXM_03371,Κρεατινίνη,132.01
EXM_03372,Γενική Αίματος,122.77
EXM_03373,Ακτινογραφία Θώρακος,33.86
EXM_03374,Σάκχαρο Αίματος,26.92
EXM_03375,Ουρία,47.35
EXM_03376,Σάκχαρο Αίματος,57.99
EXM_03377,Σάκχαρο Αίματος,144.19
EXM_03378,Κρεατινίνη,57.62
EXM_03379,Ουρία,195.24
EXM_03380,Χοληστερίνη,91.34
EXM_03381,Γενική Αίματος,129.67
EXM_03382,Κρεατινίνη,51.38
EXM_03383,Γενική Αίματος,167.22
EXM_03384,Κρεατινίνη,174.13
EXM_03385,Ακτινογραφία Θώρακος,137.5
EXM_03386,Ηλεκτροκαρδιογράφημα (ΗΚΓ),220.08
EXM_03387,Χοληστερίνη,194.19
EXM_03388,Σάκχαρο Αίματος,121.55
EXM_03389,Υπέρηχος Κοιλίας,179.8
EXM_03390,Υπέρηχος Κοιλίας,32.05
EXM_03391,Ηλεκτροκαρδιογράφημα (ΗΚΓ),220.12
EXM_03392,Ακτινογραφία Θώρακος,75.19
EXM_03393,Μαγνητική Τομογραφία (MRI),224.09
EXM_03394,Υπέρηχος Κοιλίας,197.43
EXM_03395,PCR COVID-19,247.43
EXM_03396,Μαγνητική Τομογραφία (MRI),120.34
EXM_03397,Ουρία,214.51
EXM_03398,Γενική Αίματος,39.58
EXM_03399,Υπέρηχος Κοιλίας,169.29
EXM_03400,Ηλεκτροκαρδιογράφημα (ΗΚΓ),65.34
EXM_03401,Ηλεκτροκαρδιογράφημα (ΗΚΓ),49.6
EXM_03402,Υπέρηχος Κοιλίας,142.62
EXM_03403,Ακτινογραφία Θώρακος,66.55
EXM_03404,Ακτινογραφία Θώρακος,144.05
EXM_03405,Χοληστερίνη,129.26
EXM_03406,Ουρία,153.64
EXM_03407,Χοληστερίνη,98.99
EXM_03408,Μαγνητική Τομογραφία (MRI),198.02
EXM_03409,Ουρία,200.39
EXM_03410,PCR COVID-19,244.18
EXM_03411,Ακτινογραφία Θώρακος,168.35
EXM_03412,Ουρία,202.01
EXM_03413,Ηλεκτροκαρδιογράφημα (ΗΚΓ),157.82
EXM_03414,Ηλεκτροκαρδιογράφημα (ΗΚΓ),32.81
EXM_03415,Ηλεκτροκαρδιογράφημα (ΗΚΓ),50.85
EXM_03416,Γενική Αίματος,20.98
EXM_03417,Υπέρηχος Κοιλίας,100.51
EXM_03418,Σάκχαρο Αίματος,197.54
EXM_03419,Γενική Αίματος,49.78
EXM_03420,Υπέρηχος Κοιλίας,109.84
EXM_03421,Ηλεκτροκαρδιογράφημα (ΗΚΓ),144.32
EXM_03422,Σάκχαρο Αίματος,115.18
EXM_03423,Ηλεκτροκαρδιογράφημα (ΗΚΓ),230.0
EXM_03424,Μαγνητική Τομογραφία (MRI),206.91
EXM_03425,Υπέρηχος Κοιλίας,18.82
EXM_03426,Ουρία,123.71
EXM_03427,PCR COVID-19,191.17
EXM_03428,Κρεατινίνη,98.15
EXM_03429,Σάκχαρο Αίματος,135.15
EXM_03430,Ηλεκτροκαρδιογράφημα (ΗΚΓ),135.08
EXM_03431,Ουρία,175.75
EXM_03432,Υπέρηχος Κοιλίας,76.83
EXM_03433,Χοληστερίνη,64.39
EXM_03434,Υπέρηχος Κοιλίας,56.32
EXM_03435,Κρεατινίνη,95.9
EXM_03436,Σάκχαρο Αίματος,68.33
EXM_03437,Κρεατινίνη,158.21
EXM_03438,Κρεατινίνη,42.53
EXM_03439,PCR COVID-19,109.56
EXM_03440,Ακτινογραφία Θώρακος,217.01
EXM_03441,Χοληστερίνη,78.77
EXM_03442,PCR COVID-19,143.18
EXM_03443,PCR COVID-19,248.95
EXM_03444,Υπέρηχος Κοιλίας,48.04
EXM_03445,Γενική Αίματος,154.01
EXM_03446,Κρεατινίνη,195.82
EXM_03447,Γενική Αίματος,155.95
EXM_03448,Ουρία,148.5
EXM_03449,Γενική Αίματος,196.45
EXM_03450,Ηλεκτροκαρδιογράφημα (ΗΚΓ),217.34
EXM_03451,Γενική Αίματος,132.87
EXM_03452,Υπέρηχος Κοιλίας,25.9
EXM_03453,Γενική Αίματος,115.66
EXM_03454,Μαγνητική Τομογραφία (MRI),127.98
EXM_03455,Ουρία,30.35
EXM_03456,Ηλεκτροκαρδιογράφημα (ΗΚΓ),37.87
EXM_03457,Γενική Αίματος,188.87
EXM_03458,Γενική Αίματος,202.91
EXM_03459,Κρεατινίνη,75.79
EXM_03460,Γενική Αίματος,226.82
EXM_03461,Υπέρηχος Κοιλίας,111.43
EXM_03462,Σάκχαρο Αίματος,116.21
EXM_03463,Χοληστερίνη,63.13
EXM_03464,Μαγνητική Τομογραφία (MRI),15.91
EXM_03465,Ηλεκτροκαρδιογράφημα (ΗΚΓ),101.31
EXM_03466,Κρεατινίνη,179.45
EXM_03467,Κρεατινίνη,58.48
EXM_03468,Χοληστερίνη,196.93
EXM_03469,Σάκχαρο Αίματος,173.49
EXM_03470,Υπέρηχος Κοιλίας,232.21
EXM_03471,Ηλεκτροκαρδιογράφημα (ΗΚΓ),89.15
EXM_03472,Υπέρηχος Κοιλίας,136.35
EXM_03473,Ηλεκτροκαρδιογράφημα (ΗΚΓ),67.16
EXM_03474,Μαγνητική Τομογραφία (MRI),224.85
EXM_03475,Ηλεκτροκαρδιογράφημα (ΗΚΓ),146.56
EXM_03476,Σάκχαρο Αίματος,191.76
EXM_03477,Γενική Αίματος,95.5
EXM_03478,PCR COVID-19,201.64
EXM_03479,Υπέρηχος Κοιλίας,194.08
EXM_03480,Ακτινογραφία Θώρακος,243.69
EXM_03481,Σάκχαρο Αίματος,203.16
EXM_03482,Ουρία,183.63
EXM_03483,Ηλεκτροκαρδιογράφημα (ΗΚΓ),126.09
EXM_03484,Σάκχαρο Αίματος,178.49
EXM_03485,Ηλεκτροκαρδιογράφημα (ΗΚΓ),63.52
EXM_03486,Μαγνητική Τομογραφία (MRI),46.45
EXM_03487,Κρεατινίνη,105.27
EXM_03488,PCR COVID-19,196.49
EXM_03489,Σάκχαρο Αίματος,227.5
EXM_03490,Ουρία,216.37
EXM_03491,Γενική Αίματος,204.62
EXM_03492,PCR COVID-19,233.63
EXM_03493,Σάκχαρο Αίματος,172.68
EXM_03494,Χοληστερίνη,231.31
EXM_03495,Κρεατινίνη,136.39
EXM_03496,Σάκχαρο Αίματος,123.73
EXM_03497,Κρεατινίνη,114.5
EXM_03498,Σάκχαρο Αίματος,236.9
EXM_03499,Ουρία,99.0
EXM_03500,Κρεατινίνη,125.51
EXM_03501,Γενική Αίματος,219.6
EXM_03502,Ουρία,28.56
EXM_03503,Ουρία,116.06
EXM_03504,Κρεατινίνη,72.35
EXM_03505,Γενική Αίματος,79.41
EXM_03506,Υπέρηχος Κοιλίας,27.96
EXM_03507,Ουρία,78.61
EXM_03508,Γενική Αίματος,65.05
EXM_03509,Κρεατινίνη,232.48
EXM_03510,Κρεατινίνη,246.0
EXM_03511,PCR COVID-19,150.37
EXM_03512,Ακτινογραφία Θώρακος,183.83
EXM_03513,Ηλεκτροκαρδιογράφημα (ΗΚΓ),127.69
EXM_03514,PCR COVID-19,244.33
EXM_03515,Υπέρηχος Κοιλίας,121.16
EXM_03516,Μαγνητική Τομογραφία (MRI),180.12
EXM_03517,Γενική Αίματος,166.74
EXM_03518,Σάκχαρο Αίματος,118.51
EXM_03519,Υπέρηχος Κοιλίας,142.95
EXM_03520,Ηλεκτροκαρδιογράφημα (ΗΚΓ),102.64
EXM_03521,PCR COVID-19,202.69
EXM_03522,Κρεατινίνη,85.7
EXM_03523,Σάκχαρο Αίματος,195.32
EXM_03524,Ηλεκτροκαρδιογράφημα (ΗΚΓ),130.6
EXM_03525,Σάκχαρο Αίματος,155.62
EXM_03526,Μαγνητική Τομογραφία (MRI),188.44
EXM_03527,Ηλεκτροκαρδιογράφημα (ΗΚΓ),171.35
EXM_03528,Σάκχαρο Αίματος,178.04
EXM_03529,PCR COVID-19,219.6
EXM_03530,Σάκχαρο Αίματος,101.69
EXM_03531,Χοληστερίνη,242.18
EXM_03532,Ακτινογραφία Θώρακος,188.46
EXM_03533,Ακτινογραφία Θώρακος,95.87
EXM_03534,Ουρία,231.22
EXM_03535,Ουρία,220.14
EXM_03536,Μαγνητική Τομογραφία (MRI),130.21
EXM_03537,PCR COVID-19,111.18
EXM_03538,Γενική Αίματος,119.37
EXM_03539,Ουρία,236.81
EXM_03540,Χοληστερίνη,17.27
EXM_03541,Χοληστερίνη,75.83
EXM_03542,Χοληστερίνη,65.19
EXM_03543,Χοληστερίνη,66.73
EXM_03544,PCR COVID-19,125.79
EXM_03545,Ακτινογραφία Θώρακος,172.62
EXM_03546,Ουρία,170.38
EXM_03547,PCR COVID-19,161.95
EXM_03548,Μαγνητική Τομογραφία (MRI),230.47
EXM_03549,Υπέρηχος Κοιλίας,189.15
EXM_03550,Χοληστερίνη,46.37
EXM_03551,Υπέρηχος Κοιλίας,35.46
EXM_03552,Ηλεκτροκαρδιογράφημα (ΗΚΓ),167.19
EXM_03553,Χοληστερίνη,249.14
EXM_03554,PCR COVID-19,210.18
EXM_03555,Κρεατινίνη,99.04
EXM_03556,PCR COVID-19,75.44
EXM_03557,Ακτινογραφία Θώρακος,42.15
EXM_03558,Ουρία,33.84
EXM_03559,Ουρία,179.38
EXM_03560,Υπέρηχος Κοιλίας,200.59
EXM_03561,Ακτινογραφία Θώρακος,72.28
EXM_03562,Ουρία,169.19
EXM_03563,Ηλεκτροκαρδιογράφημα (ΗΚΓ),38.2
EXM_03564,Χοληστερίνη,239.35
EXM_03565,PCR COVID-19,155.33
EXM_03566,Ουρία,160.83
EXM_03567,Ακτινογραφία Θώρακος,219.37
EXM_03568,Μαγνητική Τομογραφία (MRI),126.18
EXM_03569,Σάκχαρο Αίματος,108.59
EXM_03570,PCR COVID-19,37.58
EXM_03571,PCR COVID-19,91.02
EXM_03572,Σάκχαρο Αίματος,209.46
EXM_03573,Κρεατινίνη,39.69
EXM_03574,Κρεατινίνη,127.82
EXM_03575,Γενική Αίματος,232.02
EXM_03576,Ηλεκτροκαρδιογράφημα (ΗΚΓ),185.13
EXM_03577,Ουρία,237.28
EXM_03578,Ουρία,53.74
EXM_03579,Γενική Αίματος,92.97
EXM_03580,Ακτινογραφία Θώρακος,107.82
EXM_03581,Υπέρηχος Κοιλίας,79.1
EXM_03582,Υπέρηχος Κοιλίας,176.51
EXM_03583,Γενική Αίματος,113.09
EXM_03584,Υπέρηχος Κοιλίας,133.56
EXM_03585,Κρεατινίνη,220.58
EXM_03586,Σάκχαρο Αίματος,165.9
EXM_03587,Κρεατινίνη,21.87
EXM_03588,Μαγνητική Τομογραφία (MRI),88.74
EXM_03589,Υπέρηχος Κοιλίας,86.15
EXM_03590,Ουρία,168.93
EXM_03591,PCR COVID-19,169.87
EXM_03592,Χοληστερίνη,170.96
EXM_03593,PCR COVID-19,121.02
EXM_03594,Ουρία,132.4
EXM_03595,Σάκχαρο Αίματος,228.73
EXM_03596,Ουρία,227.18
EXM_03597,PCR COVID-19,114.03
EXM_03598,Υπέρηχος Κοιλίας,213.5
EXM_03599,Σάκχαρο Αίματος,176.25
EXM_03600,Γενική Αίματος,28.58
EXM_03601,Ηλεκτροκαρδιογράφημα (ΗΚΓ),214.73
EXM_03602,Ουρία,243.57
EXM_03603,Χοληστερίνη,219.77
EXM_03604,Ακτινογραφία Θώρακος,166.92
EXM_03605,Κρεατινίνη,202.25
EXM_03606,Σάκχαρο Αίματος,38.0
EXM_03607,Υπέρηχος Κοιλίας,33.61
EXM_03608,Χοληστερίνη,215.16
EXM_03609,Ηλεκτροκαρδιογράφημα (ΗΚΓ),98.54
EXM_03610,Σάκχαρο Αίματος,209.12
EXM_03611,Μαγνητική Τομογραφία (MRI),74.02
EXM_03612,Ηλεκτροκαρδιογράφημα (ΗΚΓ),46.43
EXM_03613,Χοληστερίνη,158.41
EXM_03614,Ακτινογραφία Θώρακος,131.17
EXM_03615,Ηλεκτροκαρδιογράφημα (ΗΚΓ),53.31
EXM_03616,Ηλεκτροκαρδιογράφημα (ΗΚΓ),44.74
EXM_03617,Γενική Αίματος,184.39
EXM_03618,Χοληστερίνη,114.27
EXM_03619,Μαγνητική Τομογραφία (MRI),29.23
EXM_03620,Γενική Αίματος,237.5
EXM_03621,Ηλεκτροκαρδιογράφημα (ΗΚΓ),177.52
EXM_03622,Υπέρηχος Κοιλίας,209.47
EXM_03623,Ηλεκτροκαρδιογράφημα (ΗΚΓ),180.66
EXM_03624,PCR COVID-19,186.93
EXM_03625,Ουρία,36.59
EXM_03626,Ηλεκτροκαρδιογράφημα (ΗΚΓ),131.99
EXM_03627,Υπέρηχος Κοιλίας,83.43
EXM_03628,Ηλεκτροκαρδιογράφημα (ΗΚΓ),153.4
EXM_03629,Υπέρηχος Κοιλίας,149.67
EXM_03630,Γενική Αίματος,234.7
EXM_03631,Ουρία,68.66
EXM_03632,Ουρία,191.64
EXM_03633,Μαγνητική Τομογραφία (MRI),68.26
EXM_03634,Ακτινογραφία Θώρακος,221.93
EXM_03635,Ηλεκτροκαρδιογράφημα (ΗΚΓ),28.84
EXM_03636,Σάκχαρο Αίματος,94.78
EXM_03637,PCR COVID-19,242.16
EXM_03638,Υπέρηχος Κοιλίας,34.4
EXM_03639,Υπέρηχος Κοιλίας,64.81
EXM_03640,Μαγνητική Τομογραφία (MRI),63.77
EXM_03641,Κρεατινίνη,118.87
EXM_03642,Γενική Αίματος,241.37
EXM_03643,Χοληστερίνη,222.07
EXM_03644,Σάκχαρο Αίματος,91.45
EXM_03645,Γενική Αίματος,147.43
EXM_03646,Μαγνητική Τομογραφία (MRI),65.45
EXM_03647,Ηλεκτροκαρδιογράφημα (ΗΚΓ),230.3
EXM_03648,Γενική Αίματος,160.24
EXM_03649,Ακτινογραφία Θώρακος,206.0
EXM_03650,Ακτινογραφία Θώρακος,70.41
EXM_03651,Γενική Αίματος,109.46
EXM_03652,Μαγνητική Τομογραφία (MRI),89.17
EXM_03653,Ουρία,137.8
EXM_03654,PCR COVID-19,104.44
EXM_03655,Κρεατινίνη,211.06
EXM_03656,PCR COVID-19,160.91
EXM_03657,Υπέρηχος Κοιλίας,119.25
EXM_03658,Σάκχαρο Αίματος,93.92
EXM_03659,Σάκχαρο Αίματος,66.84
EXM_03660,Σάκχαρο Αίματος,35.8
EXM_03661,Κρεατινίνη,106.35
EXM_03662,Μαγνητική Τομογραφία (MRI),239.4
EXM_03663,Σάκχαρο Αίματος,32.47
EXM_03664,Χοληστερίνη,181.52
EXM_03665,Γενική Αίματος,168.15
EXM_03666,Ουρία,220.44
EXM_03667,Ουρία,36.8
EXM_03668,Ακτινογραφία Θώρακος,42.61
EXM_03669,Ακτινογραφία Θώρακος,75.35
EXM_03670,Κρεατινίνη,120.11
EXM_03671,Υπέρηχος Κοιλίας,193.21
EXM_03672,PCR COVID-19,220.73
EXM_03673,PCR COVID-19,37.28
EXM_03674,Σάκχαρο Αίματος,156.72
EXM_03675,PCR COVID-19,161.31
EXM_03676,PCR COVID-19,138.75
EXM_03677,Κρεατινίνη,124.56
EXM_03678,PCR COVID-19,101.62
EXM_03679,Υπέρηχος Κοιλίας,180.47
EXM_03680,Ουρία,238.92
EXM_03681,Υπέρηχος Κοιλίας,237.65
EXM_03682,Ουρία,206.21
EXM_03683,PCR COVID-19,249.81
EXM_03684,Γενική Αίματος,21.31
EXM_03685,PCR COVID-19,20.44
EXM_03686,Σάκχαρο Αίματος,225.71
EXM_03687,Ακτινογραφία Θώρακος,36.53
EXM_03688,Γενική Αίματος,46.58
EXM_03689,Κρεατινίνη,204.26
EXM_03690,Σάκχαρο Αίματος,242.27
EXM_03691,Ακτινογραφία Θώρακος,60.01
EXM_03692,PCR COVID-19,225.12
EXM_03693,PCR COVID-19,91.91
EXM_03694,Γενική Αίματος,238.87
EXM_03695,Ηλεκτροκαρδιογράφημα (ΗΚΓ),159.89
EXM_03696,Μαγνητική Τομογραφία (MRI),142.8
EXM_03697,Υπέρηχος Κοιλίας,187.72
EXM_03698,Σάκχαρο Αίματος,28.35
EXM_03699,Κρεατινίνη,70.87
EXM_03700,Υπέρηχος Κοιλίας,234.58
EXM_03701,Μαγνητική Τομογραφία (MRI),38.77
EXM_03702,Μαγνητική Τομογραφία (MRI),173.92
EXM_03703,Σάκχαρο Αίματος,59.13
EXM_03704,Γενική Αίματος,77.36
EXM_03705,Υπέρηχος Κοιλίας,20.99
EXM_03706,Ουρία,55.61
EXM_03707,Ακτινογραφία Θώρακος,223.33
EXM_03708,PCR COVID-19,217.35
EXM_03709,Υπέρηχος Κοιλίας,98.7
EXM_03710,Ακτινογραφία Θώρακος,149.52
EXM_03711,Κρεατινίνη,242.31
EXM_03712,Μαγνητική Τομογραφία (MRI),40.86
EXM_03713,Κρεατινίνη,150.93
EXM_03714,Ακτινογραφία Θώρακος,128.54
EXM_03715,Ακτινογραφία Θώρακος,58.91
EXM_03716,Ακτινογραφία Θώρακος,196.8
EXM_03717,PCR COVID-19,154.02
EXM_03718,Μαγνητική Τομογραφία (MRI),25.13
EXM_03719,Κρεατινίνη,245.94
EXM_03720,Υπέρηχος Κοιλίας,107.35
EXM_03721,Ηλεκτροκαρδιογράφημα (ΗΚΓ),186.52
EXM_03722,Μαγνητική Τομογραφία (MRI),22.09
EXM_03723,Κρεατινίνη,44.77
EXM_03724,Ηλεκτροκαρδιογράφημα (ΗΚΓ),176.95
EXM_03725,Κρεατινίνη,140.74
EXM_03726,Κρεατινίνη,50.67
EXM_03727,Γενική Αίματος,85.77
EXM_03728,PCR COVID-19,174.22
EXM_03729,Χοληστερίνη,142.78
EXM_03730,Κρεατινίνη,26.51
EXM_03731,Υπέρηχος Κοιλίας,153.56
EXM_03732,Υπέρηχος Κοιλίας,128.83
EXM_03733,Κρεατινίνη,117.92
EXM_03734,Υπέρηχος Κοιλίας,49.22
EXM_03735,Γενική Αίματος,140.92
EXM_03736,Κρεατινίνη,129.01
EXM_03737,Ακτινογραφία Θώρακος,206.53
EXM_03738,Ηλεκτροκαρδιογράφημα (ΗΚΓ),111.25
EXM_03739,Γενική Αίματος,93.4
EXM_03740,PCR COVID-19,89.52
EXM_03741,Ηλεκτροκαρδιογράφημα (ΗΚΓ),80.98
EXM_03742,Γενική Αίματος,134.76
EXM_03743,Ηλεκτροκαρδιογράφημα (ΗΚΓ),32.38
EXM_03744,Κρεατινίνη,40.92
EXM_03745,PCR COVID-19,94.11
EXM_03746,Κρεατινίνη,201.83
EXM_03747,Μαγνητική Τομογραφία (MRI),46.7
EXM_03748,Χοληστερίνη,227.39
EXM_03749,Υπέρηχος Κοιλίας,240.19
EXM_03750,Κρεατινίνη,101.34
EXM_03751,Κρεατινίνη,35.67
EXM_03752,Υπέρηχος Κοιλίας,222.57
EXM_03753,Χοληστερίνη,233.99
EXM_03754,Μαγνητική Τομογραφία (MRI),66.05
EXM_03755,Ακτινογραφία Θώρακος,224.05
EXM_03756,Γενική Αίματος,197.02
EXM_03757,Γενική Αίματος,29.41
EXM_03758,Χοληστερίνη,180.86
EXM_03759,Σάκχαρο Αίματος,169.53
EXM_03760,Γενική Αίματος,160.76
EXM_03761,PCR COVID-19,158.28
EXM_03762,Ηλεκτροκαρδιογράφημα (ΗΚΓ),242.28
EXM_03763,PCR COVID-19,237.65
EXM_03764,Μαγνητική Τομογραφία (MRI),138.17
EXM_03765,Μαγνητική Τομογραφία (MRI),15.1
EXM_03766,Χοληστερίνη,176.15
EXM_03767,Σάκχαρο Αίματος,203.68
EXM_03768,Ουρία,102.22
EXM_03769,Ηλεκτροκαρδιογράφημα (ΗΚΓ),145.06
EXM_03770,Κρεατινίνη,54.15
EXM_03771,PCR COVID-19,208.14
EXM_03772,Ηλεκτροκαρδιογράφημα (ΗΚΓ),84.11
EXM_03773,Υπέρηχος Κοιλίας,245.72
EXM_03774,Υπέρηχος Κοιλίας,82.39
EXM_03775,Υπέρηχος Κοιλίας,106.93
EXM_03776,Υπέρηχος Κοιλίας,39.0
EXM_03777,Γενική Αίματος,128.39
EXM_03778,Υπέρηχος Κοιλίας,81.43
EXM_03779,PCR COVID-19,71.79
EXM_03780,Ουρία,198.78
EXM_03781,Ηλεκτροκαρδιογράφημα (ΗΚΓ),192.28
EXM_03782,Μαγνητική Τομογραφία (MRI),32.94
EXM_03783,Χοληστερίνη,211.59
EXM_03784,Ουρία,77.8
EXM_03785,Ουρία,205.26
EXM_03786,Υπέρηχος Κοιλίας,71.41
EXM_03787,Ηλεκτροκαρδιογράφημα (ΗΚΓ),72.53
EXM_03788,Ουρία,162.42
EXM_03789,Ουρία,243.5
EXM_03790,Χοληστερίνη,243.16
EXM_03791,Χοληστερίνη,180.91
EXM_03792,Μαγνητική Τομογραφία (MRI),170.44
EXM_03793,Χοληστερίνη,193.46
EXM_03794,Ακτινογραφία Θώρακος,136.74
EXM_03795,Σάκχαρο Αίματος,241.55
EXM_03796,Κρεατινίνη,76.06
EXM_03797,PCR COVID-19,216.03
EXM_03798,PCR COVID-19,47.31
EXM_03799,Ηλεκτροκαρδιογράφημα (ΗΚΓ),90.15
EXM_03800,PCR COVID-19,38.74
EXM_03801,Ουρία,171.83
EXM_03802,Υπέρηχος Κοιλίας,29.56
EXM_03803,Χοληστερίνη,235.1
EXM_03804,Υπέρηχος Κοιλίας,97.67
EXM_03805,Ουρία,216.48
EXM_03806,Γενική Αίματος,69.24
EXM_03807,Ηλεκτροκαρδιογράφημα (ΗΚΓ),123.91
EXM_03808,Γενική Αίματος,215.15
EXM_03809,Μαγνητική Τομογραφία (MRI),174.93
EXM_03810,Μαγνητική Τομογραφία (MRI),117.46
EXM_03811,Ουρία,42.02
